iter	Passed	Remaining
410	4367	16885
411	4398	16953
412	4413	16959
413	4424	16950
414	4443	16971
415	4459	16981
416	4468	16961
417	4480	16956
418	4517	17046
419	4527	17030
420	4552	17075
421	4570	17090
422	4580	17076
423	4588	17055
424	4597	17038
425	4605	17017
426	4614	16998
427	4622	16979
428	4633	16966
429	4643	16953
430	4654	16945
431	4670	16952
432	4686	16960
433	4704	16974
434	4722	16989
435	4741	17006
436	4757	17014
437	4773	17024
438	4791	17038
439	4809	17051
440	4826	17062
441	4845	17081
442	4863	17093
443	4880	17105
444	4897	17112
445	4914	17122
446	4930	17130
447	4948	17143
448	4970	17168
449	4986	17176
450	5004	17188
451	5021	17196
452	5037	17202
453	5062	17237
454	5080	17249
455	5096	17255
456	5112	17261
457	5125	17256
458	5135	17242
459	5145	17226
460	5161	17229
461	5177	17237
462	5192	17238
463	5207	17238
464	5223	17241
465	5239	17246
466	5253	17245
467	5268	17245
468	5284	17252
469	5302	17260
470	5319	17267
471	5335	17272
472	5353	17281
473	5369	17285
474	5391	17310
475	5407	17313
476	5421	17310
477	5433	17299
478	5444	17287
479	5453	17270
480	5462	17249
481	5470	17228
482	5480	17212
483	5492	17203
484	5507	17203
485	5523	17205
486	5536	17200
487	5554	17210
488	5573	17221
489	5589	17226
490	5604	17225
491	5619	17223
492	5631	17215
493	5645	17209
494	5655	17195
495	5663	17173
496	5673	17156
497	5682	17139
498	5697	17137
499	5706	17119
500	5715	17101
501	5725	17085
502	5739	17081
503	5749	17064
504	5756	17041
505	5766	17027
506	5782	17027
507	5798	17029
508	5823	17057
509	5840	17064
510	5858	17071
511	5875	17074
512	5889	17071
513	5905	17072
514	5920	17072
515	5937	17076
516	5954	17080
517	5970	17082
518	5991	17096
519	6011	17108
520	6028	17113
521	6049	17129
522	6069	17140
523	6088	17150
524	6105	17152
525	6117	17141
526	6129	17131
527	6140	17120
528	6153	17110
529	6168	17107
530	6184	17109
531	6204	17120
532	6223	17130
533	6241	17133
534	6257	17135
535	6276	17142
536	6293	17145
537	6311	17151
538	6326	17147
539	6341	17144
540	6355	17140
541	6371	17139
542	6389	17143
543	6406	17146
544	6448	17216
545	6470	17231
546	6483	17220
547	6493	17206
548	6504	17190
549	6513	17172
550	6524	17158
551	6535	17144
552	6550	17140
553	6565	17137
554	6581	17135
