iter	RMSE
0	306.0322513
1	286.8023138
2	268.0726432
3	249.1618959
4	233.5373727
5	220.5318599
6	206.9554117
7	194.3761818
8	183.9137714
9	174.0751735
10	165.3004993
11	156.9232394
12	149.2876175
13	142.1047873
14	135.4014668
15	129.2303684
16	124.8876664
17	120.2257132
18	116.9416668
19	114.1603448
20	111.4078964
21	109.3206917
22	106.9509789
23	102.66831
24	99.56472226
25	96.79626628
26	95.77627564
27	92.82158209
28	91.79125753
29	89.54587033
30	88.09417812
31	87.20036941
32	86.13617217
33	85.33333135
34	82.40567133
35	80.94688736
36	79.73023226
37	78.9833098
38	78.01648194
39	76.15703817
40	74.20914253
41	73.11902222
42	72.44818737
43	71.84381439
44	70.05924517
45	69.52791431
46	68.6028263
47	67.11163124
48	66.52020749
49	65.00965735
50	64.54408816
51	64.01221783
52	62.84950569
53	62.42423126
54	61.33707836
55	59.64224594
56	59.20397312
57	58.78472689
58	57.97800664
59	57.5874813
60	56.86173941
61	56.49816821
62	55.84570122
63	54.95199717
64	53.60493826
65	53.14089475
66	52.84200898
67	52.55640436
68	52.28353662
69	51.90171745
70	51.41072442
71	50.36297935
72	49.75497875
73	49.15250736
74	48.93431844
75	48.72608447
76	48.26660884
77	47.97837405
78	47.79187842
79	47.30745269
80	47.05087057
81	46.88578356
82	46.02763671
83	45.61255529
84	45.38788355
85	45.24812936
86	45.04403686
87	44.31294963
88	43.84818584
89	43.55223282
90	43.3096454
91	42.99768659
92	42.8922835
93	42.73538162
94	42.63825857
95	42.39934024
96	42.20758998
97	41.96067774
98	41.87764615
99	41.73675954
100	41.6156539
101	41.43102663
102	41.33433024
103	41.213863
104	41.112366
105	41.04550166
106	40.8663303
107	40.749594
108	40.55957546
109	40.43453631
110	40.36210259
111	40.26583069
112	40.07570586
113	39.91280663
114	39.86932568
115	39.82485843
116	39.26500891
117	39.12707005
118	39.09307335
119	39.05425271
120	38.99851389
121	38.97499604
122	38.89834396
123	38.87852958
124	38.71317683
125	38.48997501
126	38.34391335
127	38.26477899
128	37.76441154
129	37.5559002
130	37.46813877
131	37.33089314
132	37.1974668
133	37.14721949
134	36.75005254
135	36.67885042
136	36.603459
137	36.36584422
138	36.29394602
139	35.90561661
140	35.70327991
141	35.52296353
142	35.45253917
143	35.43519375
144	35.29312203
145	35.24945959
146	35.07956716
147	35.02099072
148	34.9611304
149	34.92376332
150	34.8290282
151	34.56668566
152	34.54923068
153	34.53390146
154	34.49845685
155	34.44569628
156	34.28802222
157	34.24908776
158	34.22988691
159	34.14374741
160	33.83235208
161	33.72181933
162	33.70741126
163	33.55514637
164	33.40469987
165	33.13824659
166	32.93954014
167	32.80045066
168	32.74128035
169	32.69276326
170	32.64858948
171	32.62208298
172	32.54601717
173	32.42244092
174	32.25359011
175	32.18870262
176	32.1477316
177	32.14128245
178	32.00313851
179	31.93790156
180	31.78488952
181	31.78001016
182	31.72041209
183	31.67195619
184	31.60882084
185	31.56329261
186	31.50701403
187	31.45201607
188	31.40164849
189	31.35483087
190	31.33048594
191	31.28785581
192	31.28280004
193	31.10620483
194	31.07064828
195	31.0476282
196	31.02580291
197	30.82151862
198	30.77709588
199	30.59652622
200	30.57017517
201	30.52920656
202	30.50463918
203	30.4857233
204	30.29150661
205	30.2532858
206	30.13882016
207	30.10000236
208	29.97440585
209	29.92220813
210	29.86967197
211	29.83445483
212	29.83095801
213	29.67663949
214	29.55260207
215	29.50195016
216	29.33712779
217	29.30086456
218	29.21256707
219	29.05904079
220	29.03026463
221	28.99838808
222	28.88629923
223	28.76730588
224	28.66122107
225	28.62665292
226	28.5118839
227	28.40575109
228	28.36539996
229	28.3316338
230	28.29052274
231	28.26494969
232	28.22924706
233	28.18982271
234	28.11388772
235	28.07966801
236	27.99047328
237	27.9602328
238	27.94303418
239	27.94165932
240	27.91378691
241	27.81460071
242	27.70676458
243	27.68415226
244	27.58722262
245	27.54578621
246	27.51528868
247	27.51373161
248	27.45490366
249	27.44200128
250	27.44065242
251	27.34166706
252	27.3069011
253	27.26168612
254	27.23602312
255	27.09787102
256	26.95948431
257	26.93362682
258	26.88349598
259	26.84739657
260	26.82983726
261	26.74212941
262	26.74091548
263	26.66001568
264	26.6325471
265	26.55610085
266	26.5164634
267	26.43554933
268	26.38680437
269	26.32001981
270	26.28471624
271	26.19692608
272	26.05753878
273	25.97838266
274	25.94116744
275	25.86580628
276	25.73811575
277	25.66228813
278	25.63205885
279	25.61331389
280	25.5153984
281	25.47143628
282	25.42819119
283	25.35177737
284	25.23562617
285	25.14186115
286	25.0745402
287	25.05356823
288	24.98967317
289	24.96985943
290	24.91343746
291	24.86017397
292	24.84286688
293	24.78432012
294	24.74366031
295	24.72800124
296	24.67558255
297	24.56513185
298	24.52943862
299	24.4971309
300	24.47902359
301	24.44109822
302	24.34240326
303	24.30753921
304	24.22334714
305	24.17480588
306	24.1663549
307	24.09652993
308	24.0948268
309	24.05570396
310	24.03894893
311	23.93508592
312	23.92138965
313	23.90867688
314	23.82602121
315	23.62593319
316	23.6080567
317	23.58478722
318	23.43853155
319	23.42710794
320	23.35318362
321	23.30234134
322	23.26557657
323	23.20203325
324	23.18833353
325	23.17237851
326	23.12947357
327	23.10799635
328	23.0637665
329	23.02737955
330	23.01850346
331	22.99542323
332	22.96450787
333	22.95255859
334	22.89553081
335	22.8809809
336	22.86050485
337	22.84676513
338	22.84098092
339	22.80020335
340	22.71461865
341	22.69814543
342	22.67294066
343	22.60376777
344	22.55699359
345	22.48666335
346	22.47015025
347	22.44204535
348	22.41967709
349	22.38686819
350	22.37872361
351	22.34118007
352	22.31408216
353	22.29935799
354	22.22762274
355	22.1665724
356	22.10343893
357	22.06609689
358	21.98415527
359	21.96887511
360	21.93356995
361	21.85944469
362	21.79361662
363	21.74464082
364	21.66542476
365	21.63288208
366	21.61307439
367	21.58577191
368	21.50673399
369	21.47941038
370	21.35564945
371	21.3489953
372	21.29027098
373	21.23224227
374	21.21027125
375	21.13998454
376	21.12148556
377	21.10959885
378	21.10258162
379	21.0898958
380	21.03687434
381	21.01486264
382	20.95895608
383	20.94841757
384	20.9417412
